,persistencia,sazonal_naive_288,media_movel_288,lstnet
2024-04-19,0.030520925298333168,0.026215367019176483,0.027651505544781685,0.01958385668694973
2024-04-20,0.014583330601453781,0.062257032841444016,0.06204869970679283,0.04407472163438797
2024-04-21,0.02597229927778244,0.022569440305233,0.021734796464443207,0.019697017967700958
2024-04-22,0.01937500387430191,0.023750005289912224,0.025798460468649864,0.01864968240261078
2024-04-23,0.0491318553686142,0.03274310752749443,0.034157853573560715,0.022627701982855797
2024-04-24,0.03329864516854286,0.024027850478887558,0.028625747188925743,0.02123754471540451
2024-04-25,0.05090305581688881,0.025520898401737213,0.019595621153712273,0.02713971585035324
2024-04-26,0.034860968589782715,0.026319440454244614,0.02461477369070053,0.016736304387450218
2024-04-27,0.014756941236555576,0.01795136369764805,0.015052073635160923,0.016997642815113068
2024-04-28,0.05805562064051628,0.0206596776843071,0.01952112466096878,0.0209649708122015
2024-07-20,0.04100681096315384,0.02239581197500229,0.023950591683387756,0.0178680457174778
2024-07-21,0.0273610707372427,0.039201345294713974,0.04027056694030762,0.02257036417722702
2024-07-22,0.05263884365558624,0.0733332633972168,0.052889611572027206,0.06590356677770615
2024-07-23,0.05347239971160889,0.09506942331790924,0.07395830005407333,0.04903353750705719
2024-07-24,0.03305560350418091,0.0181250162422657,0.03307296335697174,0.023462241515517235
2024-07-25,0.024826491251587868,0.021284759044647217,0.02710268646478653,0.019727922976017
2024-07-26,0.03343759477138519,0.03381945937871933,0.03786901757121086,0.01743803732097149
2024-07-27,0.035381946712732315,0.030277831479907036,0.03736956790089607,0.017233502119779587
2024-07-28,0.04527786746621132,0.036770839244127274,0.015282620675861835,0.03434436395764351
2024-07-29,0.020034655928611755,0.022256899625062943,0.021871035918593407,0.014968923293054104
2024-09-15,0.13775688409805298,0.08629251271486282,0.06052900850772858,0.0789651945233345
2024-09-16,0.057437047362327576,0.057540688663721085,0.04575864598155022,0.041475117206573486
2024-09-17,0.07478597015142441,0.07373877614736557,0.06922837346792221,0.06570589542388916
2024-09-18,0.08754625171422958,0.06868980824947357,0.0755072832107544,0.0703849047422409
2024-09-19,0.10057418048381805,0.0693417638540268,0.07785003632307053,0.06709590554237366
2024-09-20,0.15504619479179382,0.061371102929115295,0.07468557357788086,0.06869492679834366
2024-09-21,0.1695820838212967,0.0644543319940567,0.08103010058403015,0.060065850615501404
2024-09-22,0.11512509733438492,0.09269624948501587,0.08834633976221085,0.07447990030050278
2024-09-23,0.2074269950389862,0.06465359032154083,0.09305298328399658,0.07509016990661621
2024-09-24,0.0885649025440216,0.05303412675857544,0.07757336646318436,0.0498206689953804
2024-11-20,0.06796883046627045,0.015638889744877815,0.03873272240161896,0.017283547669649124
2024-11-21,0.06913214921951294,0.02071298658847809,0.04141930863261223,0.020003188401460648
2024-11-22,0.053489770740270615,0.01915161870419979,0.038430530577898026,0.023748256266117096
2024-11-23,0.07138889282941818,0.02711690217256546,0.04786566644906998,0.021921740844845772
2024-11-24,0.07807275652885437,0.023946773260831833,0.04932396858930588,0.016236575320363045
